Distance_(pixels),Gray_Value
0,33.3333
1,34.3333
2,33.0000
3,31.6667
4,31.3333
5,32.6667
6,32.6667
7,33.0000
8,33.0000
9,32.6667
10,33.0000
11,31.3333
12,32.6667
13,33.0000
14,35.3333
15,32.0000
16,32.6667
17,34.6667
18,34.3333
19,33.0000
20,34.6667
21,34.3333
22,33.0000
23,34.0000
24,35.6667
25,35.0000
26,34.6667
27,35.0000
28,33.6667
29,33.6667
30,35.0000
31,34.6667
32,37.3333
33,35.3333
34,34.6667
35,33.6667
36,34.6667
37,32.6667
38,34.3333
39,33.6667
40,35.6667
41,36.0000
42,36.3333
43,36.3333
44,36.6667
45,35.6667
46,37.0000
47,36.6667
48,37.0000
49,35.6667
50,38.0000
51,38.0000
52,37.0000
53,36.3333
54,35.6667
55,36.6667
56,38.0000
57,37.0000
58,37.3333
59,36.3333
60,37.6667
61,37.3333
62,38.0000
63,37.0000
64,37.3333
65,35.6667
66,38.3333
67,38.6667
68,37.3333
69,35.0000
70,38.0000
71,37.6667
72,38.6667
73,37.3333
74,38.0000
75,38.0000
76,38.6667
77,39.3333
78,40.0000
79,38.6667
80,38.6667
81,38.0000
82,39.0000
83,39.3333
84,41.0000
85,41.0000
86,41.0000
87,39.6667
88,40.0000
89,39.6667
90,39.6667
91,39.0000
92,42.0000
93,40.6667
94,40.3333
95,41.3333
96,39.6667
97,40.3333
98,41.3333
99,40.6667
100,41.0000
101,41.0000
102,40.0000
103,40.6667
104,41.6667
105,41.0000
106,41.3333
107,41.0000
108,42.3333
109,40.3333
110,41.6667
111,42.0000
112,42.6667
113,43.0000
114,42.6667
115,42.6667
116,44.0000
117,41.6667
118,42.6667
119,42.6667
120,42.6667
121,43.0000
122,42.3333
123,42.6667
124,42.6667
125,43.0000
126,42.0000
127,44.0000
128,43.6667
129,46.6667
130,45.0000
131,42.6667
132,43.6667
133,44.0000
134,46.0000
135,45.0000
136,45.3333
137,45.3333
138,45.3333
139,45.6667
140,46.6667
141,45.3333
142,45.3333
143,45.3333
144,46.3333
145,47.3333
146,46.0000
147,46.0000
148,46.3333
149,45.6667
150,47.6667
151,47.0000
152,47.3333
153,47.3333
154,48.0000
155,46.3333
156,47.6667
157,47.6667
158,49.6667
159,49.0000
160,48.0000
161,47.0000
162,49.0000
163,48.3333
164,48.0000
165,49.0000
166,49.6667
167,48.3333
168,49.3333
169,49.6667
170,49.6667
171,49.3333
172,50.0000
173,49.6667
174,50.3333
175,49.3333
176,51.6667
177,51.0000
178,49.6667
179,50.6667
180,50.6667
181,50.6667
182,50.6667
183,52.0000
184,52.3333
185,51.6667
186,53.0000
187,52.0000
188,53.3333
189,53.0000
190,52.0000
191,51.3333
192,52.3333
193,52.0000
194,54.3333
195,55.0000
196,55.6667
197,53.6667
198,53.3333
199,53.3333
200,54.3333
201,55.0000
202,54.3333
203,55.3333
204,55.0000
205,56.0000
206,57.3333
207,58.0000
208,57.0000
209,56.0000
210,55.6667
211,54.3333
212,56.6667
213,56.6667
214,58.3333
215,58.3333
216,59.0000
217,58.6667
218,59.0000
219,60.6667
220,61.0000
221,60.0000
222,60.0000
223,60.3333
224,62.0000
225,61.3333
226,60.6667
227,62.0000
228,62.6667
229,62.6667
230,63.3333
231,63.3333
232,64.0000
233,63.0000
234,64.6667
235,64.3333
236,64.3333
237,64.6667
238,65.6667
239,65.6667
240,66.6667
241,67.6667
242,66.6667
243,66.0000
244,67.6667
245,68.3333
246,69.0000
247,66.3333
248,68.0000
249,69.6667
250,68.6667
251,68.3333
252,67.6667
253,66.3333
254,68.3333
255,68.0000
256,67.3333
257,68.3333
258,70.0000
259,69.6667
260,70.0000
261,68.3333
262,69.0000
263,69.3333
264,69.3333
265,69.6667
266,70.3333
267,69.3333
268,69.6667
269,68.3333
270,68.6667
271,69.3333
272,70.3333
273,69.6667
274,69.0000
275,68.0000
276,69.6667
277,71.6667
278,71.6667
279,70.3333
280,71.3333
281,70.6667
282,70.6667
283,70.0000
284,70.0000
285,70.6667
286,70.6667
287,72.0000
288,70.6667
289,70.3333
290,70.6667
291,71.3333
292,71.0000
293,70.3333
294,70.0000
295,71.0000
296,71.3333
297,71.0000
298,72.0000
299,71.0000
300,71.3333
301,72.0000
302,72.3333
303,72.6667
304,71.3333
305,72.3333
306,70.6667
307,71.0000
308,72.0000
309,71.6667
310,71.6667
311,72.0000
312,71.3333
313,70.0000
314,71.6667
315,72.3333
316,71.6667
317,71.3333
318,71.3333
319,72.6667
320,72.6667
321,71.0000
322,71.6667
323,72.6667
324,73.3333
325,73.6667
326,73.6667
327,73.6667
328,72.6667
329,73.3333
330,73.6667
331,72.0000
332,72.6667
333,72.3333
334,72.0000
335,73.3333
336,73.0000
337,72.6667
338,73.6667
339,72.6667
340,73.3333
341,73.3333
342,74.3333
343,74.3333
344,73.0000
345,72.6667
346,73.6667
347,74.3333
348,75.3333
349,73.3333
350,73.3333
351,73.0000
352,74.3333
353,73.6667
354,73.6667
355,73.0000
356,74.6667
357,75.0000
358,74.3333
359,73.0000
360,72.3333
361,73.0000
362,74.6667
363,73.3333
364,73.0000
365,72.6667
366,72.3333
367,73.6667
368,74.3333
369,73.3333
370,74.3333
371,73.6667
372,74.3333
373,75.0000
374,74.3333
375,74.6667
376,74.6667
377,73.3333
378,74.6667
379,73.6667
380,74.3333
381,75.0000
382,75.3333
383,74.3333
384,75.3333
385,74.3333
386,74.3333
387,74.3333
388,74.3333
389,75.6667
390,75.0000
391,75.6667
392,75.3333
393,75.0000
394,74.6667
395,73.0000
396,74.6667
397,74.6667
398,74.0000
399,74.6667
400,75.6667
401,75.0000
402,75.6667
403,77.0000
404,75.0000
405,73.3333
406,74.3333
407,75.6667
408,75.6667
409,75.6667
410,74.3333
411,75.3333
412,76.0000
413,75.6667
414,75.6667
415,75.6667
416,75.6667
417,74.3333
418,74.6667
419,74.0000
420,76.3333
421,75.6667
422,76.3333
423,76.0000
424,77.6667
425,77.0000
426,76.3333
427,74.6667
428,76.0000
429,75.6667
430,75.0000
431,74.6667
432,75.6667
433,75.0000
434,76.0000
435,78.3333
436,75.6667
437,74.0000
438,75.3333
439,74.0000
440,74.6667
441,76.0000
442,76.0000
443,76.0000
444,78.0000
445,77.0000
446,78.0000
447,76.0000
448,76.3333
449,74.6667
450,75.3333
451,76.0000
452,75.0000
453,73.6667
454,75.0000
455,75.0000
456,74.6667
457,75.0000
458,75.6667
459,75.3333
460,76.0000
461,76.6667
462,76.6667
463,76.0000
464,76.0000
465,76.0000
466,76.6667
467,76.6667
468,76.6667
469,75.3333
470,75.3333
471,75.3333
472,76.0000
473,76.0000
474,76.3333
475,77.3333
476,75.6667
477,75.0000
478,75.6667
479,76.6667
480,75.3333
481,76.3333
482,76.0000
483,76.3333
484,76.6667
485,77.0000
486,76.3333
487,75.3333
488,76.6667
489,75.0000
490,78.0000
491,78.0000
492,76.3333
493,76.6667
494,76.3333
495,76.0000
496,77.0000
497,75.6667
498,75.6667
499,76.3333
500,76.3333
501,76.0000
502,76.3333
503,77.0000
504,78.0000
505,78.6667
506,77.3333
507,77.3333
508,78.6667
509,77.0000
510,77.3333
511,76.6667
512,76.0000
513,77.0000
514,77.0000
515,77.3333
516,77.3333
517,76.3333
518,76.6667
519,76.3333
520,78.0000
521,75.6667
522,76.0000
523,76.3333
524,76.0000
525,76.3333
526,76.6667
527,77.0000
528,76.6667
529,76.6667
530,77.6667
531,76.3333
532,76.0000
533,77.0000
534,76.6667
535,75.0000
536,76.0000
537,76.3333
538,77.0000
539,77.3333
540,77.6667
541,75.6667
542,76.0000
543,75.6667
544,76.6667
545,77.6667
546,76.6667
547,76.0000
548,76.0000
549,77.6667
550,77.3333
551,76.0000
552,77.0000
553,76.3333
554,78.0000
555,78.0000
556,77.3333
557,77.6667
558,77.3333
559,77.6667
560,77.0000
561,76.3333
562,75.6667
563,76.6667
564,76.0000
565,77.0000
566,76.0000
567,75.0000
568,76.3333
569,78.6667
570,79.0000
571,77.3333
572,77.0000
573,76.6667
574,77.0000
575,76.6667
576,77.3333
577,76.6667
578,77.0000
579,76.0000
580,77.0000
581,77.6667
582,77.3333
583,78.3333
584,78.3333
585,76.0000
586,78.0000
587,77.6667
588,77.3333
589,76.0000
590,76.6667
591,77.3333
592,77.3333
593,77.0000
594,76.6667
595,77.6667
596,76.3333
597,75.6667
598,76.6667
599,77.6667
600,77.3333
601,76.6667
602,77.0000
603,77.6667
604,77.3333
605,77.6667
606,78.0000
607,77.6667
608,76.6667
609,76.6667
610,76.3333
611,76.0000
612,78.0000
613,77.3333
614,78.0000
615,77.3333
616,77.3333
617,80.6667
618,78.6667
619,77.3333
620,77.0000
621,77.0000
622,76.0000
623,76.6667
624,77.6667
625,77.6667
626,78.0000
627,77.0000
628,77.3333
629,76.6667
630,77.0000
631,76.3333
632,78.0000
633,76.3333
634,78.0000
635,77.3333
636,79.0000
637,77.3333
638,77.3333
639,78.6667
640,77.3333
641,77.0000
642,77.0000
643,78.0000
644,78.0000
645,77.6667
646,76.3333
647,77.0000
648,77.3333
649,76.6667
650,77.0000
651,76.3333
652,77.6667
653,76.3333
654,77.3333
655,78.6667
656,77.3333
657,77.0000
658,77.6667
659,78.0000
660,77.0000
661,77.0000
662,76.6667
663,76.3333
664,77.0000
665,77.3333
666,77.0000
667,77.3333
668,77.3333
669,75.0000
670,76.0000
671,75.6667
672,77.0000
673,77.6667
674,77.3333
675,77.0000
676,77.0000
677,77.0000
678,76.0000
679,78.3333
680,78.0000
681,78.0000
682,78.0000
683,77.0000
684,77.0000
685,76.3333
686,76.0000
687,74.6667
688,76.6667
689,77.6667
690,77.0000
691,75.6667
692,78.0000
693,76.3333
694,78.0000
695,77.6667
696,77.6667
697,77.0000
698,76.3333
699,77.0000
700,76.3333
701,78.0000
702,77.0000
703,78.0000
704,77.3333
705,77.6667
706,77.0000
707,75.3333
708,78.0000
709,79.0000
710,77.3333
711,75.6667
712,77.0000
713,75.6667
714,78.0000
715,78.6667
716,77.3333
717,75.6667
718,76.0000
719,76.3333
720,76.3333
721,76.0000
722,76.3333
723,77.0000
724,76.3333
725,76.3333
726,76.0000
727,76.6667
728,76.6667
729,77.6667
730,76.3333
731,77.0000
732,77.3333
733,76.6667
734,76.6667
735,76.6667
736,76.6667
737,75.6667
738,76.3333
739,75.3333
740,75.6667
741,76.3333
742,75.3333
743,74.3333
744,75.0000
745,75.6667
746,76.3333
747,75.0000
748,75.6667
749,75.3333
750,76.6667
751,75.3333
752,76.0000
753,76.6667
754,75.3333
755,76.6667
756,76.6667
757,74.6667
758,75.6667
759,74.6667
760,75.3333
761,76.3333
762,76.6667
763,76.3333
764,75.3333
765,75.3333
766,77.0000
767,76.0000
768,76.3333
769,74.3333
770,74.6667
771,75.0000
772,74.3333
773,74.3333
774,74.6667
775,74.3333
776,74.6667
777,75.6667
778,75.0000
779,75.6667
780,74.3333
781,73.3333
782,74.3333
783,74.3333
784,74.3333
785,74.0000
786,74.3333
787,73.3333
788,74.3333
789,75.6667
790,74.6667
791,73.6667
792,74.6667
793,74.6667
794,74.3333
795,74.3333
796,74.6667
797,73.6667
798,73.6667
799,75.0000
800,74.6667
801,73.6667
802,74.3333
803,73.6667
804,73.3333
805,74.0000
806,73.3333
807,73.3333
808,73.6667
809,73.0000
810,73.3333
811,74.3333
812,74.3333
813,73.6667
814,73.3333
815,72.3333
816,71.6667
817,71.6667
818,70.6667
819,71.0000
820,73.0000
821,72.3333
822,72.3333
823,72.3333
824,71.6667
825,72.0000
826,71.6667
827,72.3333
828,73.3333
829,74.0000
830,73.3333
831,72.6667
832,72.3333
833,71.3333
834,72.6667
835,71.3333
836,71.6667
837,71.0000
838,70.6667
839,71.0000
840,71.6667
841,71.0000
842,71.0000
843,70.6667
844,70.6667
845,69.6667
846,70.0000
847,71.0000
848,69.6667
849,69.3333
850,70.6667
851,71.3333
852,69.6667
853,69.6667
854,70.3333
855,68.3333
856,68.6667
857,68.3333
858,69.0000
859,69.3333
860,70.0000
861,70.0000
862,70.6667
863,69.0000
864,68.3333
865,68.0000
866,69.0000
867,69.3333
868,68.6667
869,68.0000
870,68.3333
871,67.3333
872,68.3333
873,67.3333
874,68.3333
875,68.0000
876,67.6667
